Company / Role,Salary Information (CAD unless otherwise specified),Benefits,Year,Position
ALPHABYTE,37/hr USD,,,
ALPHABYTE,52.32/hr USD,,,
ALPHABYTE (BRITISH COLUMBIA OFFICE),,,,
ALPHABYTE (BRITISH COLUMBIA OFFICE),51/hr (4th coop),,,
ALPHABYTE (DEVELOPER),33/hr USD,,,
ALPHABYTE (INTERN),22-27/hr,,,
ALPHABYTE (MANAGER),,,,
ALPHABYTE (ONTARIO),46.37/hr,,,
AlphaByte,22.63 USD/hr,,,
AlphaByte,1254/week (2nd coop),,,
AlphaByte,29-50/hr (2nd coop),,,
AlphaByte (AB),55-56/hr (5th coop),,,
AlphaByte (BC Office),58/hr USD (3rd coop),,,
AlphaByte (BC),,,,
AlphaByte (British Columbia),,,,
AlphaByte (DEV),38-45/hr,,,
AlphaByte (ON),,,,
AlphaByte (Ontario),47-48/hr (5th coop),,,
AlphaByte (QA),49/hr,,,
AlphaByte (QC),37/hr,,,
AlphaByte (intern),53/hr (3rd coop),,,
AlphaByte (intern),26 USD/hr,,,
AlphaByte (manager),29-43/hr,,,
AlphaByte and intern,22.24/hr,,,
CITA (CANADIAN INFORMATION TECHNOLOGY AGENCY),39/hr USD (3rd coop),,,
CITA (CANADIAN INFORMATION TECHNOLOGY AGENCY),,,,
CITA (CANADIAN INFORMATION TECHNOLOGY AGENCY),25-36/hr,,,
CITA (CANADIAN INFORMATION TECHNOLOGY AGENCY),19/hr USD,,,
CITA (Canadian Information Technology Agency),59/hr,,,
CITA (Canadian Information Technology Agency),45.18/hr (5th coop),,,
CITA (Canadian Information Technology Agency),52.23/hr USD (6th coop),,,
CITA (Canadian Information Technology Agency),46.61 USD/hr,,,
CITA (Canadian Information Technology Agency),57/hr USD (2nd coop),,,
CITA (Canadian Information Technology Agency),,,,
CITA (Canadian Information Technology Agency),35/hr,,,
CODECRAFTERS (AB OFFICE),59/hr USD (5th coop),,,
CODECRAFTERS (BRITISH COLUMBIA),"7,451/month",,,
CODECRAFTERS (INTERN),30 USD/hr (6th coop),,,
CODECRAFTERS (MANAGER),48 USD/hr,,,
CODECRAFTERS (QC OFFICE),34.25 USD/hr (2nd coop),,,
CODECRAFTERS (QC),,,,
CODECRAFTERS (QUEBEC OFFICE),42-43/hr (6th coop),,,
CODECRAFTERS (QUEBEC),45.56/hr (3rd coop),,,
CODECRAFTERS AND ANALYST,43.11/hr USD (2nd coop),,,
CTS (CYBERSECURITY AND TECHNOLOGY SERVICES),23.17/hr (3rd coop),,,
CTS (CYBERSECURITY AND TECHNOLOGY SERVICES),47-55/hr,,,
CTS (CYBERSECURITY AND TECHNOLOGY SERVICES),,,,
CTS (CYBERSECURITY AND TECHNOLOGY SERVICES),49-55/hr,,,
CTS (Cybersecurity and Technology Services),53/hr,,,
CTS (Cybersecurity and Technology Services),55.94 USD/hr (3rd coop),,,
CTS (Cybersecurity and Technology Services),25.53/hr,,,
CTS (Cybersecurity and Technology Services),47/hr USD,,,
CTS (Cybersecurity and Technology Services),1890 USD/week (3rd coop),,,
CTS (Cybersecurity and Technology Services),,,,
CTS (Cybersecurity and Technology Services),21.79 USD/hr,,,
CYBERSPHERE (ALBERTA OFFICE),46/hr USD (6th coop),,,
CYBERSPHERE (ANALYST),46-55/hr (6th coop),,,
CYBERSPHERE (ON OFFICE),51 USD/hr (5th coop),,,
CYBERSPHERE (QC),45.42/hr,,,
CYBERSPHERE AND TESTER,30.90/hr,,,
CodeCrafters,24.40/hr USD (3rd coop),,,
CodeCrafters,19/hr USD,,,
CodeCrafters,26/hr USD (5th coop),,,
CodeCrafters,56 USD/hr (2nd coop),,,
CodeCrafters,40-45/hr,,,
CodeCrafters (AB),34-57/hr,,,
CodeCrafters (AB),21/hr (4th coop),,,
CodeCrafters (BC Office),,,,
CodeCrafters (British Columbia),,,,
CodeCrafters (ON Office),59/hr,,,
CodeCrafters (ON),,,,
CodeCrafters (Ontario Office),43.96/hr USD,,,
CodeCrafters (QA),48.43/hr,,,
CodeCrafters (QC Office),29/hr (1st coop),,,
CodeCrafters (QC Office),1895 USD/mo,,,
CodeCrafters (Quebec),27-37/hr (3rd coop),,,
CodeCrafters (analyst),48/hr,,,
